Traffic_Level,ID,Delivery_person_ID,weather_description,Type_of_order,Type_of_vehicle,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,temperature,humidity,precipitation,Distance (km),TARGET
High,82C3,RANCHIRES04DEL02,clear sky,Drinks,scooter,22,4.8,23.359.033,85.325.347,23.439.033,85.405.347,17.58,69,0,14.99,4.543.333.333
High,5397,PUNERES18DEL01,clear sky,Buffet,motorcycle,38,4.4,18.593.481,73.785.901,18.663.481,73.855.901,19.01,65,0,15.81,37.75
High,3A5A,INDORES08DEL02,haze,Snack,scooter,24,4.9,22.725.748,75.898.497,22.775.748,75.948.497,17.08,72,0,13.69,36.3
High,DE01,KOCRES010DEL01,mist,Snack,motorcycle,39,4.7,10.035.573,76.336.958,10.105.573,76.406.958,23.9,88,0,15.77,4.481.666.667
High,8771,VADRES11DEL02,clear sky,Drinks,motorcycle,31,4.3,22.308.096,73.167.753,22.388.096,73.247.753,22.63,43,0,16.42,4.093.333.333
High,C141,ALHRES12DEL01,clear sky,Meal,motorcycle,39,4.7,25.443.994,81.860.187,25.513.994,81.930.187,22.03,55,0,16.02,3.488.333.333
High,690F,RANCHIRES11DEL03,clear sky,Snack,motorcycle,37,4.6,23.359.194,85.325.447,23.449.194,85.415.447,17.54,69,0,18.5,4.068.333.333
High,B4BA,HYDRES19DEL02,broken clouds,Meal,scooter,25,4.9,17.458.998,78.500.366,17.508.998,78.550.366,21.29,64,0,10.7,32.2
High,1B58,JAPRES03DEL01,haze,Drinks,motorcycle,29,4.6,26.913.483,75.803.139,26.983.483,75.873.139,19.83,68,0,12.55,4.281.666.667
High,3F8D,MUMRES06DEL03,smoke,Snack,motorcycle,25,4.8,19.055.831,72.833.984,19.115.831,72.893.984,26.83,44,0,11.65,5.158.333.333
High,7ECE,RANCHIRES18DEL01,clear sky,Buffet,motorcycle,39,4.7,23.351.489,85.324.253,23.421.489,85.394.253,17.84,68,0,12.97,4.716.666.667
High,1365,INDORES06DEL02,haze,Meal,motorcycle,38,3.9,22.728.163,75.884.212,22.808.163,75.964.212,17.19,72,0,16.78,34.9
High,4B5B,MYSRES04DEL03,broken clouds,Meal,motorcycle,38,4.3,12.3085,76.665.808,12.3985,76.755.808,18.43,82,0,19.64,4.068.333.333
High,7405,SURRES19DEL01,clear sky,Buffet,motorcycle,36,4.9,21.149.669,72.772.629,21.219.669,72.842.629,23.05,43,0,14.03,33.5
High,D02B,KNPRES16DEL03,clear sky,Meal,motorcycle,26,4.1,26.482.581,80.315.628,26.572.581,80.405.628,21.74,56,0,18.1,4.413.333.333
High,1F0E,MYSRES12DEL03,broken clouds,Drinks,motorcycle,36,4.9,12.284.747,76.625.861,12.344.747,76.685.861,18.22,81,0,14.53,4.266.666.667
High,7A1F,PUNERES19DEL03,clear sky,Snack,motorcycle,23,4.6,18.563.934,73.915.367,18.653.934,74.005.367,19.37,65,0,21.48,4.323.333.333
High,CEAC,KOLRES18DEL03,haze,Buffet,motorcycle,37,5,22.569.367,88.433.187,22.629.367,88.493.187,22.98,83,0,15.08,4.091.666.667
High,A0A5,BANGRES14DEL03,mist,Snack,motorcycle,26,4.8,12.949.934,77.699.386,13.009.934,77.759.386,19.73,93,0,13.71,47.9
High,892D,SURRES09DEL02,clear sky,Snack,scooter,29,5,21.175.975,72.795.503,21.255.975,72.875.503,22.88,43,0,15.2,3.876.666.667
High,6118,INDORES09DEL01,clear sky,Snack,motorcycle,26,4.9,22.725.835,75.887.648,22.835.835,75.997.648,17.27,53,0,22.02,41.1
High,46FD,PUNERES09DEL03,clear sky,Meal,motorcycle,29,4.8,18.536.562,73.896.485,18.596.562,73.956.485,19.08,65,0,13.9,3.948.333.333
High,77EE,HYDRES12DEL01,broken clouds,Drinks,scooter,27,4.5,17.429.585,78.392.621,17.469.585,78.432.621,21.43,65,0,9.43,41.55
High,2192,BANGRES07DEL01,mist,Buffet,motorcycle,32,4.1,12.978.453,77.643.685,13.048.453,77.713.685,19.5,93,0,12.76,42.65
High,4321,JAPRES13DEL02,haze,Drinks,electric_scooter,20,4.8,26.846.156,758.023,26.926.156,758.823,19.98,68,0,18.08,4.898.333.333
High,1E2D,BANGRES13DEL01,mist,Snack,motorcycle,34,4.7,12.935.662,7.761.413,12.975.662,7.765.413,20.21,91,0,11.19,4.048.333.333
High,5.20E+03,JAPRES07DEL02,haze,Buffet,motorcycle,36,4.8,26.766.536,75.837.333,26.896.536,75.967.333,20.12,68,0,37.48,4.836.666.667
High,6C4D,VADRES05DEL01,clear sky,Buffet,scooter,30,4.6,22.310.526,73.170.937,22.420.526,73.280.937,22.47,44,0,21.29,42.5
High,DD96,KNPRES16DEL01,clear sky,Meal,scooter,32,4.8,26.482.581,80.315.628,26.552.581,80.385.628,21.73,56,0,15.4,37.45
High,7EF7,COIMBRES16DEL02,mist,Buffet,motorcycle,31,4.5,11.010.375,7.695.295,11.090.375,7.703.295,24.95,73,0,17.3,44.9
High,C918,AURGRES14DEL03,mist,Snack,motorcycle,28,5,19.875.016,75.322.405,19.965.016,75.412.405,17.15,82,0,16.62,5.243.333.333
High,2391,INDORES13DEL03,clear sky,Buffet,scooter,33,4.5,22.745.049,75.892.471,22.835.049,75.982.471,17.25,53,0,19,36.1
High,7DDD,INDORES12DEL03,clear sky,Drinks,motorcycle,35,4.2,2.274.806,758.934,2.283.806,759.834,17.25,53,0,18.76,4.388.333.333
High,D92F,AGRRES03DEL01,clear sky,Buffet,motorcycle,35,4.9,27.160.832,78.011.608,27.230.832,78.081.608,21.71,51,0,15.29,3.983.333.333
High,D902,KOCRES14DEL01,mist,Drinks,motorcycle,32,4.4,10.027.014,76.308.053,10.137.014,76.418.053,23.95,88,0,21.08,56.25
High,C63E,DEHRES010DEL01,clear sky,Meal,scooter,32,4.3,30.328.174,78.049.117,30.398.174,78.119.117,12.44,77,0,15.87,4.523.333.333
High,7B03,BANGRES07DEL01,mist,Buffet,motorcycle,20,4.5,12.978.453,77.643.685,13.048.453,77.713.685,19.5,93,0,12.76,4.286.666.667
High,70B1,VADRES01DEL01,clear sky,Buffet,motorcycle,31,4.4,22.307.898,73.167.788,22.417.898,73.277.788,22.47,44,0,20.94,4.061.666.667
High,8DE9,SURRES14DEL03,clear sky,Buffet,scooter,21,4.9,21.157.729,72.768.726,21.247.729,72.858.726,22.92,43,0,16.07,3.651.666.667
High,75DC,MYSRES16DEL02,scattered clouds,Drinks,motorcycle,39,4,12.316.967,76.603.067,12.446.967,76.733.067,18.12,77,0,26.21,4.878.333.333
High,416F,MYSRES05DEL02,scattered clouds,Snack,electric_scooter,25,4.9,12.323.978,76.627.961,12.453.978,76.757.961,18.05,77,0,25.68,5.166.666.667
High,D4DA,KNPRES12DEL01,clear sky,Buffet,motorcycle,27,5,26.492.106,80.327.797,26.562.106,80.397.797,21.83,54,0,16.06,4.006.666.667
High,B59B,MUMRES010DEL01,smoke,Drinks,motorcycle,28,4.5,19.003.517,7.282.765,19.073.517,7.289.765,27.03,44,0,16.04,5.803.333.333
High,6A7,RANCHIRES08DEL01,clear sky,Drinks,scooter,29,4.6,23.353.783,85.326.967,23.463.783,85.436.967,17.88,67,0,18,4.816.666.667
High,ADAE,HYDRES16DEL01,broken clouds,Snack,motorcycle,27,4.6,17.440.827,78.393.391,17.510.827,78.463.391,21.34,64,0,16.25,4.871.666.667
High,43B9,HYDRES18DEL03,broken clouds,Meal,motorcycle,33,4.8,17.450.851,78.379.347,17.510.851,78.439.347,21.25,64,0,13.4,38.15
High,9E8A,PUNERES05DEL02,clear sky,Snack,scooter,20,4.7,18.543.626,73.905.101,18.623.626,73.985.101,19.13,64,0,17.74,4.728.333.333
High,1B40,MYSRES02DEL03,broken clouds,Snack,motorcycle,34,4.2,12.304.569,76.643.622,12.364.569,76.703.622,18.3,81,0,13.89,45.15
High,B4FB,MYSRES03DEL01,broken clouds,Meal,motorcycle,22,4.7,12.299.524,7.664.262,12.369.524,7.671.262,18.25,81,0,15.77,4.318.333.333
High,5B70,BANGRES04DEL02,mist,Snack,electric_scooter,24,4.6,1.298.041,77.640.489,1.306.041,77.720.489,19.37,93,0,16.67,5.086.666.667
High,7ADA,JAPRES07DEL02,haze,Drinks,scooter,21,4.7,26.766.536,75.837.333,26.896.536,75.967.333,20.12,68,0,37.48,5.546.666.667
High,6357,MUMRES07DEL03,smoke,Buffet,scooter,20,4.5,19.091.458,72.827.808,19.151.458,72.887.808,26.49,44,0,16.18,5.143.333.333
High,A200,SURRES07DEL01,clear sky,Drinks,motorcycle,30,4.7,21.170.798,72.790.489,21.280.798,72.900.489,22.85,43,0,22.18,53.6
High,9BF9,PUNERES19DEL01,clear sky,Drinks,motorcycle,32,4.4,18.563.934,73.915.367,18.603.935,73.955.367,19.08,65,0,12.92,4.071.666.667
High,555D,INDORES15DEL03,clear sky,Snack,motorcycle,23,4.6,22.760.072,75.892.574,22.850.072,75.982.574,17.26,53,0,16.74,4.151.666.667
High,8D83,HYDRES19DEL03,broken clouds,Buffet,motorcycle,20,4.7,17.458.998,78.500.366,17.518.998,78.560.366,21.24,64,0,12.95,4.021.666.667
High,8A06,RANCHIRES010DEL02,clear sky,Buffet,scooter,34,4.8,23.354.422,853.329,23.484.422,854.629,17.6,69,0,20.31,4.481.666.667
High,1.20E+08,INDORES07DEL03,clear sky,Meal,electric_scooter,33,3.9,22.722.634,75.886.959,22.812.634,75.976.959,17.21,53,0,19.02,39.5
High,CEE,BANGRES20DEL01,mist,Drinks,scooter,29,4.6,12.972.161,77.596.014,13.042.161,77.666.014,19.72,93,0,12.6,5.788.333.333
High,5A07,MYSRES02DEL02,scattered clouds,Drinks,motorcycle,34,4.7,12.304.569,76.643.622,12.354.569,76.693.622,17.97,77,0,12.84,46.75
High,340F,SURRES05DEL01,clear sky,Buffet,scooter,26,4.6,21.175.104,72.804.342,21.245.104,72.874.342,22.9,43,0,14.85,35.05
High,AA97,RANCHIRES16DEL01,clear sky,Snack,motorcycle,39,4.1,23.371.292,85.327.872,23.441.292,85.397.872,17.77,68,0,18.75,3.891.666.667
High,6EDB,PUNERES06DEL01,clear sky,Meal,scooter,34,3.8,18.546.258,73.904.337,18.656.258,74.014.337,19.42,65,0,22.85,4.283.333.333
High,AABD,JAPRES010DEL03,haze,Buffet,motorcycle,22,4.7,26.921.411,75.793.604,26.981.411,75.853.604,19.47,68,0,11.89,3.983.333.333
High,1494,MYSRES15DEL02,scattered clouds,Meal,motorcycle,27,4,12.352.058,7.660.665,12.432.058,7.668.665,18.36,82,0,19.48,3.443.333.333
High,1875,COIMBRES19DEL01,mist,Drinks,scooter,29,4.9,11.022.298,76.998.349,11.132.298,77.108.349,25.15,73,0,21.2,54.8
High,7E1F,RANCHIRES18DEL03,clear sky,Drinks,motorcycle,26,4.9,23.351.489,85.324.253,23.411.489,85.384.253,17.72,68,0,11.34,45.3
High,8B39,VADRES01DEL01,clear sky,Drinks,motorcycle,24,2.6,22.307.898,73.167.788,22.417.898,73.277.788,22.47,44,0,20.94,4.751.666.667
High,6E9D,CHENRES03DEL01,mist,Buffet,motorcycle,28,4,13.091.809,80.219.104,13.131.809,80.259.104,26.31,88,0,9.62,4.186.666.667
High,1B6A,RANCHIRES18DEL02,clear sky,Meal,scooter,29,4.6,23.351.489,85.324.253,23.431.489,85.404.253,17.79,68,0,16.17,39.8
High,7BD7,COIMBRES14DEL02,mist,Snack,scooter,20,4.7,11.003.681,76.975.525,11.053.681,77.025.525,23.86,78,0,10.04,3.818.333.333
High,1A54,BANGRES15DEL01,mist,Buffet,motorcycle,32,4,12.975.377,77.696.664,13.045.377,77.766.664,19.45,93,0,17.12,4.273.333.333
High,819D,VADRES20DEL01,clear sky,Meal,motorcycle,20,4.9,22.311.358,73.164.798,22.421.358,73.274.798,22.49,44,0,19.95,3.478.333.333
High,66F1,SURRES09DEL01,clear sky,Buffet,motorcycle,38,4.8,21.175.975,72.795.503,21.285.975,72.905.503,22.84,43,0,21.59,4.668.333.333
High,4C13,SURRES07DEL02,clear sky,Drinks,motorcycle,24,4.9,21.170.798,72.790.489,21.300.798,72.920.489,22.81,43,0,23.68,5.401.666.667
High,4CAB,RANCHIRES06DEL03,clear sky,Meal,motorcycle,35,4.7,23.357.804,85.325.146,23.417.804,85.385.146,17.84,68,0,11.6,3.928.333.333
High,AFC4,COIMBRES16DEL02,mist,Snack,scooter,35,4.7,11.010.375,7.695.295,11.090.375,7.703.295,24.95,73,0,17.3,46.95
High,1655,MUMRES16DEL01,smoke,Drinks,motorcycle,29,4.8,19.120.083,72.907.385,19.190.083,72.977.385,27,44,0,14.32,4.876.666.667
High,D6EF,AGRRES01DEL02,clear sky,Meal,scooter,24,4.4,27.161.661,78.011.544,27.241.661,78.091.544,21.83,50,0,18.98,36.25
High,9873,COIMBRES20DEL02,mist,Drinks,motorcycle,33,4.1,10.994.136,76.963.303,11.074.136,77.043.303,25.01,73,0,15.4,4.871.666.667
High,92EC,CHENRES010DEL02,broken clouds,Drinks,scooter,34,4.8,13.066.762,80.251.865,13.116.762,80.301.865,26.39,88,0,13.21,55.2
High,A20A,PUNERES13DEL03,clear sky,Drinks,scooter,21,4.7,1.856.245,73.916.619,1.865.245,74.006.619,19.37,65,0,21.93,4.948.333.333
High,D2B0,KOCRES20DEL01,mist,Drinks,motorcycle,27,4.9,9.979.186,76.317.361,10.049.186,76.387.361,24,88,0,15.83,5.271.666.667
High,5561,PUNERES010DEL01,clear sky,Drinks,scooter,31,4.2,18.539.299,73.897.902,18.609.299,73.967.902,18.93,65,0,16.2,5.371.666.667
High,9151,BANGRES14DEL02,mist,Buffet,scooter,34,4.4,12.949.934,77.699.386,12.999.934,77.749.386,19.73,93,0,14.78,49.35
High,C677,KOCRES11DEL01,mist,Meal,scooter,23,4.7,10.006.881,76.345.397,10.076.881,76.415.397,23.86,88,0,15.03,41.5
High,A04,COIMBRES13DEL01,mist,Snack,scooter,28,4.7,11.003.669,76.976.494,11.073.669,77.046.494,25.06,73,0,14.28,4.201.666.667
High,58C2,CHENRES08DEL02,mist,Drinks,scooter,20,4.7,13.022.394,80.242.439,13.072.394,80.292.439,26.48,87,0,12.4,5.191.666.667
High,50C4,MYSRES15DEL01,scattered clouds,Buffet,motorcycle,28,4.7,12.352.058,7.660.665,12.462.058,7.671.665,18.25,82,0,23.28,41.6
High,6234,VADRES01DEL01,clear sky,Drinks,scooter,25,4.8,22.307.898,73.167.788,22.417.898,73.277.788,22.47,44,0,20.94,4.751.666.667
High,6445,JAPRES17DEL02,haze,Snack,motorcycle,34,3.5,26.892.312,75.806.896,26.972.313,75.886.896,19.99,68,0,14.11,48.95
High,33DC,VADRES13DEL01,clear sky,Drinks,motorcycle,24,4.9,22.310.237,73.158.921,22.420.237,73.268.921,22.49,44,0,20.49,42.5
High,ACD8,RANCHIRES04DEL03,clear sky,Snack,motorcycle,33,4.6,23.359.033,85.325.347,23.449.033,85.415.347,17.54,69,0,18.49,4.033.333.333
High,DEB4,LUDHRES06DEL02,clear sky,Snack,motorcycle,34,4.9,30.895.204,75.822.103,30.945.204,75.872.103,19.01,56,0,11.67,35.05
High,D446,ALHRES08DEL03,clear sky,Drinks,electric_scooter,28,4.9,25.450.329,81.834.279,25.540.329,81.924.279,21.98,55,0,18.13,5.071.666.667
High,6436,PUNERES07DEL01,clear sky,Buffet,scooter,34,3.7,18.546.947,73.900.626,18.656.947,74.010.626,19.42,65,0,23.24,4.478.333.333
High,8B2B,MUMRES14DEL03,smoke,Buffet,scooter,38,4.6,191.813,72.836.191,192.413,72.896.191,26.22,44,0,13.14,42.95
High,33A0,JAPRES06DEL03,clear sky,Drinks,motorcycle,29,4.5,26.911.927,75.797.282,27.001.927,75.887.282,19.95,46,0,17.28,54.65
High,B012,COIMBRES20DEL03,mist,Snack,motorcycle,24,4.6,10.994.136,76.963.303,11.084.136,77.053.303,24.97,73,0,17.5,4.986.666.667
High,4F3C,SURRES04DEL01,clear sky,Buffet,motorcycle,30,4.2,21.173.493,72.801.953,21.243.493,72.871.953,22.87,42,0,14.05,34.8
High,B209,COIMBRES13DEL01,mist,Drinks,scooter,20,4.9,11.003.669,76.976.494,11.073.669,77.046.494,25.06,73,0,14.28,4.701.666.667
High,4F9A,BANGRES20DEL01,mist,Buffet,motorcycle,31,4.4,12.972.161,77.596.014,13.042.161,77.666.014,19.72,93,0,12.6,5.096.666.667
High,9692,JAPRES17DEL02,haze,Snack,motorcycle,39,4.9,26.892.312,75.806.896,26.972.313,75.886.896,19.99,68,0,14.11,4.896.666.667
High,7BF,SURRES13DEL02,clear sky,Buffet,scooter,30,3.8,21.170.096,72.789.122,21.250.096,72.869.122,22.9,43,0,15.72,3.626.666.667
High,3B2E,CHENRES02DEL02,mist,Drinks,scooter,32,4.1,13.086.438,80.220.672,13.136.439,80.270.672,26.36,88,0,12.24,52.8
High,2CB6,JAPRES13DEL01,haze,Drinks,motorcycle,25,4.7,26.846.156,758.023,26.956.156,759.123,20.06,68,0,23.52,55.85
High,205D,COIMBRES09DEL03,mist,Snack,scooter,26,4.7,11.008.638,76.984.311,11.098.638,77.074.311,25.01,73,0,17.11,4.431.666.667
High,AC01,INDORES08DEL02,clear sky,Buffet,motorcycle,33,4.8,22.725.748,75.898.497,22.805.747,75.978.497,17.21,53,0,18.15,39.15
High,AFF,MYSRES11DEL02,scattered clouds,Meal,scooter,36,4.3,12.323.225,76.630.028,12.453.225,76.760.028,18.05,77,0,25.16,4.273.333.333
High,A3A6,PUNERES04DEL03,clear sky,Snack,motorcycle,20,4.9,1.851.421,73.838.429,1.860.421,73.928.429,19.05,65,0,16.57,48.4
High,2.80E+10,HYDRES03DEL02,broken clouds,Snack,scooter,31,4,17.422.819,78.449.578,17.502.819,78.529.578,21.18,65,0,16.52,4.693.333.333
High,53EA,HYDRES15DEL02,broken clouds,Snack,motorcycle,30,4.9,1.745.971,78.368.855,1.750.971,78.418.855,21.15,67,0,11.89,3.608.333.333
High,CD30,KOLRES03DEL03,haze,Drinks,motorcycle,27,4.9,22.526.461,88.364.453,22.616.461,88.454.453,23.03,83,0,20.49,55.85
High,57CE,PUNERES11DEL02,clear sky,Drinks,motorcycle,30,4.9,18.533.811,73.899.315,18.583.811,73.949.315,19.18,65,0,12.57,4.701.666.667
High,9646,COIMBRES17DEL02,mist,Buffet,scooter,37,4.8,11.026.117,76.944.652,11.106.117,77.024.652,24.98,73,0,16.91,43.8
High,33DD,HYDRES16DEL03,broken clouds,Meal,electric_scooter,23,4.1,17.440.827,78.393.391,17.500.827,78.453.391,21.37,64,0,14.16,35.4
High,7096,PUNERES01DEL03,clear sky,Meal,motorcycle,26,4.1,18.569.156,73.774.723,18.629.156,73.834.723,18.93,64,0,15.49,3.796.666.667
High,BC03,COIMBRES010DEL01,mist,Snack,motorcycle,35,4.6,11.003.008,7.697.544,11.073.009,7.704.544,25.06,73,0,14.4,4.251.666.667
High,5AA4,BANGRES12DEL01,mist,Snack,scooter,25,4.5,12.939.496,77.625.999,12.979.496,77.665.999,19.75,92,0,10.27,3.986.666.667
High,B041,RANCHIRES01DEL03,clear sky,Meal,motorcycle,38,4.7,23.416.792,85.316.842,23.506.792,85.406.842,17.41,69,0,18.92,35.5
High,5145,BANGRES11DEL01,mist,Meal,scooter,29,4.3,12.934.365,77.616.155,12.974.365,77.656.155,19.66,91,0,10.93,3.643.333.333
High,CDF 4.00,BHPRES03DEL02,clear sky,Snack,scooter,25,4.6,23.214.294,77.435.361,23.264.294,77.485.361,18.29,58,0,12.11,3.591.666.667
High,326E,MYSRES17DEL01,broken clouds,Snack,motorcycle,21,4.7,12.326.356,76.619.103,12.436.356,76.729.103,18.13,82,0,21.93,3.871.666.667
High,8028,COIMBRES15DEL01,mist,Snack,motorcycle,38,4.8,11.006.686,76.951.736,11.076.686,77.021.736,24.95,73,0,13.88,4.456.666.667
High,5FD4,SURRES04DEL01,clear sky,Buffet,motorcycle,23,2.5,21.173.493,72.801.953,21.283.493,72.911.953,22.83,43,0,21.72,4.776.666.667
High,A14D,MYSRES01DEL02,broken clouds,Meal,scooter,32,3.6,12.311.072,76.654.878,12.441.072,76.784.878,17.79,82,0,25.55,43.6
High,268B,MYSRES11DEL02,broken clouds,Drinks,electric_scooter,34,3.9,12.323.225,76.630.028,12.403.225,76.710.028,18.43,82,0,17.5,4.303.333.333
High,711A,JAPRES07DEL02,haze,Buffet,motorcycle,21,5,26.766.536,75.837.333,26.846.536,75.917.333,20.18,68,0,16.14,34.05
High,21C3,HYDRES02DEL03,broken clouds,Meal,scooter,34,3.9,1.741.233,78.449.654,1.750.233,78.539.654,21.29,64,0,17.82,4.561.666.667
